# output/output_current.csv run at 2001-08-01 12:00:00 PDT on 123 links
link_name,currA_real,currA_imag,currB_real,currB_imag,currC_real,currC_imag
sw_fault,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
sw_0,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
oh_line_source_equivalence_post_fault,221.735203,-206.869759,-75.879349,-142.512850,-73.720909,224.412563
oh_line_1_2,221.735203,-206.869759,-75.879349,-142.512850,-73.720909,224.412563
oh_line_2_3,0.000000,0.000000,-57.231637,-38.040443,18.522605,25.372688
oh_line_3_4,0.000000,0.000000,-17.510738,-24.842098,18.522605,25.372688
oh_line_2_5,198.841336,-185.625143,-2.196625,-98.988766,-99.147943,180.160265
oh_line_5_6,204.088481,-124.243847,-22.700764,-73.776966,-66.638981,176.879457
oh_line_6_7,-7.376726,28.730851,20.410386,-2.659856,-12.410067,-16.483054
oh_line_17_24,-7.376726,28.730851,20.410386,-2.659856,-12.410067,-16.483054
oh_line_24_25,21.888045,-10.314869,-16.126692,-12.411141,-2.376225,21.443537
oh_line_24_26,-29.264771,39.045719,36.537078,9.751286,-10.033842,-37.926592
oh_line_6_8,26.567330,-24.205693,0.000000,0.000000,-17.536283,30.820565
oh_line_8_9,0.000000,0.000000,0.000000,0.000000,-17.536283,30.820565
oh_line_8_10,26.567330,-24.205693,0.000000,0.000000,0.000000,0.000000
oh_line_11_12,107.970838,35.256784,15.540207,-15.515798,-13.676064,48.171205
oh_line_16_21,-3.965536,50.102666,1.168953,11.167470,7.581503,-8.029117
oh_line_21_22,21.938988,-10.451501,-16.131055,-12.379330,-2.396372,21.490803
oh_line_21_23,-25.904524,60.554167,17.300008,23.546800,9.977875,-29.519920
oh_line_2_13,22.893867,-21.244617,-16.451086,-5.483641,6.904430,18.879610
oh_line_13_14,33.239293,-29.842865,-28.481778,-9.081572,7.194931,30.183894
oh_line_15_18,-10.345426,8.598249,12.030692,3.597931,-0.290501,-11.304284
oh_line_18_19,21.682575,-9.529427,-16.246363,-12.717509,-2.601254,21.247271
oh_line_18_20,-32.028002,18.127676,28.277055,16.315440,2.310753,-32.551555
switch_7_17,-7.376726,28.730851,20.410386,-2.659856,-12.410067,-16.483054
switch_6_11,102.853940,-64.089709,40.095135,-33.184961,-48.540862,62.231308
switch_12_16,-3.965536,50.102666,1.168953,11.167470,7.581503,-8.029117
switch_13_15,-10.345426,8.598249,12.030692,3.597931,-0.290501,-11.304284
switch_5_27,-7.621549,-59.542158,29.585084,-21.046302,-34.643609,-15.090021
switch_27_29,-7.621549,-59.542158,29.585084,-21.046302,-34.643609,-15.090021
switch_11_28,-10.353118,-69.321884,24.554928,-17.669163,-29.483646,-12.543832
switch_28_30,-10.353118,-69.321884,24.554928,-17.669163,-29.483646,-12.543832
