# output/output_current.csv run at 2001-08-01 12:00:00 PDT on 123 links
link_name,currA_real,currA_imag,currB_real,currB_imag,currC_real,currC_imag
sw_fault,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
sw_0,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
oh_line_source_equivalence_post_fault,216.841553,-173.971337,-170.533999,-88.841078,31.794128,290.619033
oh_line_1_2,216.841553,-173.971337,-170.533999,-88.841078,31.794128,290.619033
oh_line_2_3,0.000000,0.000000,-60.468761,-40.847974,20.354117,27.095088
oh_line_3_4,0.000000,0.000000,-18.398473,-26.517612,20.354117,27.095088
oh_line_2_5,196.224742,-139.840438,-80.640849,-50.338172,-7.248039,238.589051
oh_line_5_6,193.927990,-138.067200,-71.024239,-45.802798,-9.871088,218.714209
oh_line_6_7,-12.020632,-5.077166,0.813877,12.152727,10.563319,-7.898951
oh_line_17_24,-12.020632,-5.077166,0.813877,12.152727,10.563319,-7.898951
oh_line_24_25,21.173693,-9.870460,-17.087401,-13.512341,-2.185787,23.511776
oh_line_24_26,-33.194325,4.793294,17.901278,25.665068,12.749106,-31.410727
oh_line_6_8,25.657163,-23.228470,0.000000,0.000000,-18.541056,34.064872
oh_line_8_9,0.000000,0.000000,0.000000,0.000000,-18.541056,34.064872
oh_line_8_10,25.657163,-23.228470,0.000000,0.000000,0.000000,0.000000
oh_line_11_12,95.920481,-18.804661,16.576474,-16.207846,-11.513743,53.946121
oh_line_16_21,-12.075638,-5.059977,0.834585,12.132541,10.570748,-7.909754
oh_line_21_22,21.216485,-9.964808,-17.085245,-13.460849,-2.180253,23.534747
oh_line_21_23,-33.292123,4.904830,17.919830,25.593390,12.751000,-31.444500
oh_line_2_13,20.616811,-34.130899,-29.424389,2.345068,18.688050,24.934894
oh_line_13_14,32.318882,-28.846193,-30.205244,-9.880779,8.237734,32.502292
oh_line_15_18,-11.702071,-5.284706,0.780855,12.225846,10.450316,-7.567398
oh_line_18_19,21.069435,-9.194838,-17.146346,-13.643073,-2.494547,22.962439
oh_line_18_20,-32.771506,3.910132,17.927202,25.868920,12.944863,-30.529836
switch_7_17,-12.020632,-5.077166,0.813877,12.152727,10.563319,-7.898951
switch_6_11,101.057771,-47.711048,16.576474,-16.207846,-16.861236,83.135408
switch_12_16,-12.075638,-5.059977,0.834585,12.132541,10.570748,-7.909754
switch_13_15,-11.702071,-5.284706,0.780855,12.225846,10.450316,-7.567398
switch_5_27,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
switch_27_29,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
switch_11_28,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
switch_28_30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
