# output/output_voltage.csv run at 2001-08-01 12:00:00 PDT on 123 powerflow objects (not all are nodes)
node_name,voltA_mag,voltA_angle,voltB_mag,voltB_angle,voltC_mag,voltC_angle
source_equivalence,2497.848205,0.000000,2497.848205,4.188790,2497.848205,2.094395
node_0,2472.101880,-0.015788,2481.755667,4.176988,2472.767727,2.077288
load_3_p,0.000000,0.000000,2457.752242,4.163683,2408.611453,2.060591
load_3_q,0.000000,0.000000,2457.752242,4.163683,2408.611453,2.060591
load_4_p,0.000000,0.000000,2455.780936,4.163047,2406.174590,2.060979
load_4_q,0.000000,0.000000,2455.780936,4.163047,2406.174590,2.060979
load_5_p,2414.999630,-0.040446,2470.606211,4.164427,2397.948692,2.056509
load_5_q,2414.999630,-0.040446,2470.606211,4.164427,2397.948692,2.056509
load_6_p,2387.092505,-0.057150,2478.793194,4.162072,2362.545553,2.046363
load_6_q,2387.092505,-0.057150,2478.793194,4.162072,2362.545553,2.046363
load_9_p,0.000000,0.000000,0.000000,0.000000,2357.717938,2.044148
load_9_q,0.000000,0.000000,0.000000,0.000000,2357.717938,2.044148
load_10_p,2379.686876,-0.056374,0.000000,0.000000,0.000000,0.000000
load_10_q,2379.686876,-0.056374,0.000000,0.000000,0.000000,0.000000
load_11_p,2387.085548,-0.057145,2478.790615,4.162071,2362.539197,2.046367
load_11_q,2387.085548,-0.057145,2478.790615,4.162071,2362.539197,2.046367
load_12_p,2379.840076,-0.059035,2481.719459,4.160908,2360.380190,2.046722
load_12_q,2379.840076,-0.059035,2481.719459,4.160908,2360.380190,2.046722
load_14_p,2391.801004,-0.041086,2444.319036,4.161215,2385.320093,2.056559
load_14_q,2391.801004,-0.041086,2444.319036,4.161215,2385.320093,2.056559
load_19_p,2419.652613,-0.035477,2465.888140,4.164863,2407.132728,2.060414
load_19_q,2419.652613,-0.035477,2465.888140,4.164863,2407.132728,2.060414
load_22_p,2378.977414,-0.059395,2481.203540,4.160512,2359.509090,2.046318
load_22_q,2378.977414,-0.059395,2481.203540,4.160512,2359.509090,2.046318
load_25_p,2386.040264,-0.056903,2477.708907,4.162165,2361.388763,2.046606
load_25_q,2386.040264,-0.056903,2477.708907,4.162165,2361.388763,2.046606
load_29_p,2414.999630,-0.040446,2470.606211,4.164427,2397.948692,2.056509
load_29_q,2414.999630,-0.040446,2470.606211,4.164427,2397.948692,2.056509
load_30_p,2387.085548,-0.057145,2478.790615,4.162071,2362.539197,2.046367
load_30_q,2387.085548,-0.057145,2478.790615,4.162071,2362.539197,2.046367
node_1,2472.101880,-0.015788,2481.755667,4.176988,2472.767727,2.077288
node_2,2424.025979,-0.034977,2468.639346,4.165228,2410.901709,2.060369
node_3,0.000000,0.000000,2457.752242,4.163683,2408.611453,2.060591
node_4,0.000000,0.000000,2455.780936,4.163047,2406.174590,2.060979
node_5,2414.999630,-0.040446,2470.606211,4.164427,2397.948692,2.056509
node_6,2387.092505,-0.057150,2478.793194,4.162072,2362.545553,2.046363
node_7,2386.899778,-0.056546,2478.228220,4.162562,2362.258571,2.047010
node_8,2384.689408,-0.057354,0.000000,0.000000,2360.118485,2.045453
node_9,0.000000,0.000000,0.000000,0.000000,2357.717938,2.044148
node_10,2379.686876,-0.056374,0.000000,0.000000,0.000000,0.000000
node_11,2387.085548,-0.057145,2478.790615,4.162071,2362.539197,2.046367
node_12,2379.840076,-0.059035,2481.719459,4.160908,2360.380190,2.046722
node_13,2420.495952,-0.035137,2466.428610,4.165263,2407.977556,2.060807
node_14,2391.801004,-0.041086,2444.319036,4.161215,2385.320093,2.056559
node_15,2420.497606,-0.035137,2466.430235,4.165263,2407.979219,2.060807
node_16,2379.841759,-0.059036,2481.721073,4.160907,2360.381887,2.046722
node_17,2386.901456,-0.056546,2478.229837,4.162561,2362.260267,2.047010
node_18,2420.480107,-0.035079,2466.374928,4.165313,2407.949577,2.060869
node_19,2419.652613,-0.035477,2465.888140,4.164863,2407.132728,2.060414
node_20,2421.220888,-0.034392,2466.586051,4.166013,2408.619193,2.061635
inv_20_meter,2421.220888,-0.034392,2466.586051,4.166013,2408.619193,2.061635
node_21,2379.822326,-0.058975,2481.664476,4.160956,2360.353428,2.046787
node_22,2378.977414,-0.059395,2481.203540,4.160512,2359.509090,2.046318
node_23,2380.570932,-0.058250,2481.843276,4.161644,2361.056495,2.047579
inv_23_meter,2380.570932,-0.058250,2481.843276,4.161644,2361.056495,2.047579
node_24,2386.882231,-0.056486,2478.173372,4.162610,2362.231623,2.047075
node_25,2386.040264,-0.056903,2477.708907,4.162165,2361.388763,2.046606
node_26,2387.628921,-0.055767,2478.356364,4.163301,2362.932288,2.047866
inv_26_meter,2387.628921,-0.055767,2478.356364,4.163301,2362.932288,2.047866
node_27,2414.999630,-0.040446,2470.606211,4.164427,2397.948692,2.056509
node_28,2387.085548,-0.057145,2478.790615,4.162071,2362.539197,2.046367
node_29,2414.999630,-0.040446,2470.606211,4.164427,2397.948692,2.056509
inv_29_meter,2414.999630,-0.040446,2470.606211,4.164427,2397.948692,2.056509
node_30,2387.085548,-0.057145,2478.790615,4.162071,2362.539197,2.046367
inv_30_meter,2387.085548,-0.057145,2478.790615,4.162071,2362.539197,2.046367
