# output/output_voltage.csv run at 2001-08-01 12:00:00 PDT on 123 powerflow objects (not all are nodes)
node_name,voltA_mag,voltA_angle,voltB_mag,voltB_angle,voltC_mag,voltC_angle
source_equivalence,2497.848205,0.000000,2497.848205,4.188790,2497.848205,2.094395
node_0,2467.388896,-0.016109,2500.679265,4.177132,2492.879322,2.077686
load_3_p,0.000000,0.000000,2507.977100,4.152620,2473.296604,2.064394
load_3_q,0.000000,0.000000,2507.977100,4.152620,2473.296604,2.064394
load_4_p,0.000000,0.000000,2506.031029,4.152009,2470.930413,2.064757
load_4_q,0.000000,0.000000,2506.031029,4.152009,2470.930413,2.064757
load_5_p,2372.306822,-0.037906,2527.527905,4.150508,2473.016463,2.061347
load_5_q,2372.306822,-0.037906,2527.527905,4.150508,2473.016463,2.061347
load_6_p,2340.834549,-0.055379,2547.169449,4.145499,2452.952913,2.052161
load_6_q,2340.834549,-0.055379,2547.169449,4.145499,2452.952913,2.052161
load_9_p,0.000000,0.000000,0.000000,0.000000,2448.306979,2.050128
load_9_q,0.000000,0.000000,0.000000,0.000000,2448.306979,2.050128
load_10_p,2333.222860,-0.054575,0.000000,0.000000,0.000000,0.000000
load_10_q,2333.222860,-0.054575,0.000000,0.000000,0.000000,0.000000
load_11_p,2340.828754,-0.055372,2547.163869,4.145497,2452.943393,2.052163
load_11_q,2340.828754,-0.055372,2547.163869,4.145497,2452.943393,2.052163
load_12_p,2335.670638,-0.058956,2551.311286,4.144719,2449.924166,2.052776
load_12_q,2335.670638,-0.058956,2551.311286,4.144719,2449.924166,2.052776
load_14_p,2357.632416,-0.039727,2496.028968,4.149970,2451.326659,2.060350
load_14_q,2357.632416,-0.039727,2496.028968,4.149970,2451.326659,2.060350
load_19_p,2386.012943,-0.034001,2517.353369,4.153463,2472.653599,2.063997
load_19_q,2386.012943,-0.034001,2517.353369,4.153463,2472.653599,2.063997
load_22_p,2335.757590,-0.059478,2550.730141,4.144535,2448.780264,2.052295
load_22_q,2335.757590,-0.059478,2550.730141,4.144535,2448.780264,2.052295
load_25_p,2344.116945,-0.055931,2549.065115,4.145736,2454.367892,2.051784
load_25_q,2344.116945,-0.055931,2549.065115,4.145736,2454.367892,2.051784
load_29_p,2372.317899,-0.037901,2527.520605,4.150505,2473.009009,2.061344
load_29_q,2372.317899,-0.037901,2527.520605,4.150505,2473.009009,2.061344
load_30_p,2340.841651,-0.055367,2547.157780,4.145494,2452.937076,2.052161
load_30_q,2340.841651,-0.055367,2547.157780,4.145494,2452.937076,2.052161
node_1,2467.388896,-0.016109,2500.679265,4.177132,2492.879322,2.077686
node_2,2389.482166,-0.033117,2518.669767,4.154104,2475.519629,2.064205
node_3,0.000000,0.000000,2507.977100,4.152620,2473.296604,2.064394
node_4,0.000000,0.000000,2506.031029,4.152009,2470.930413,2.064757
node_5,2372.306822,-0.037906,2527.527905,4.150508,2473.016463,2.061347
node_6,2340.834549,-0.055379,2547.169449,4.145499,2452.952913,2.052161
node_7,2344.611577,-0.055477,2549.269749,4.146098,2454.986559,2.052202
node_8,2338.325059,-0.055594,0.000000,0.000000,2450.618564,2.051339
node_9,0.000000,0.000000,0.000000,0.000000,2448.306979,2.050128
node_10,2333.222860,-0.054575,0.000000,0.000000,0.000000,0.000000
node_11,2340.828754,-0.055372,2547.163869,4.145497,2452.943393,2.052163
node_12,2335.670638,-0.058956,2551.311286,4.144719,2449.924166,2.052776
node_13,2386.744486,-0.033607,2517.679696,4.153853,2473.372915,2.064375
node_14,2357.632416,-0.039727,2496.028968,4.149970,2451.326659,2.060350
node_15,2386.744859,-0.033608,2517.679909,4.153853,2473.373450,2.064374
node_16,2335.667198,-0.058959,2551.312828,4.144719,2449.925565,2.052775
node_17,2344.610124,-0.055479,2549.268905,4.146097,2454.985814,2.052201
node_18,2386.861047,-0.033584,2517.801910,4.153894,2473.458245,2.064419
node_19,2386.012943,-0.034001,2517.353369,4.153463,2472.653599,2.063997
node_20,2388.290647,-0.033046,2518.861210,4.154532,2474.687617,2.065065
inv_20_meter,2388.290647,-0.033046,2518.861210,4.154532,2474.687617,2.065065
node_21,2336.632550,-0.059032,2551.141519,4.144956,2449.602824,2.052718
node_22,2335.757590,-0.059478,2550.730141,4.144535,2448.780264,2.052295
node_23,2342.334545,-0.058951,2550.700207,4.146558,2448.811941,2.052851
inv_23_meter,2342.334545,-0.058951,2550.700207,4.146558,2448.811941,2.052851
node_24,2344.987828,-0.055488,2549.478985,4.146157,2455.189179,2.052205
node_25,2344.116945,-0.055931,2549.065115,4.145736,2454.367892,2.051784
node_26,2347.747642,-0.055096,2550.944166,4.146877,2457.027746,2.052646
inv_26_meter,2347.747642,-0.055096,2550.944166,4.146877,2457.027746,2.052646
node_27,2372.312361,-0.037903,2527.524255,4.150507,2473.012736,2.061345
node_28,2340.835202,-0.055370,2547.160825,4.145496,2452.940235,2.052162
node_29,2372.317899,-0.037901,2527.520605,4.150505,2473.009009,2.061344
inv_29_meter,2372.317899,-0.037901,2527.520605,4.150505,2473.009009,2.061344
node_30,2340.841651,-0.055367,2547.157780,4.145494,2452.937076,2.052161
inv_30_meter,2340.841651,-0.055367,2547.157780,4.145494,2452.937076,2.052161
