# output/output_voltage.csv run at 2001-08-01 12:00:00 PDT on 123 powerflow objects (not all are nodes)
node_name,voltA_mag,voltA_angle,voltB_mag,voltB_angle,voltC_mag,voltC_angle
source_equivalence,2497.848205,0.000000,2497.848205,4.188790,2497.848205,2.094395
node_0,2298.812767,-0.113338,2507.066047,4.112766,2451.630742,1.982470
load_3_p,0.000000,0.000000,2515.901325,4.089595,2427.711775,1.968676
load_3_q,0.000000,0.000000,2515.901325,4.089595,2427.711775,1.968676
load_4_p,0.000000,0.000000,2513.996073,4.088990,2425.278701,1.969065
load_4_q,0.000000,0.000000,2513.996073,4.088990,2425.278701,1.969065
load_5_p,2208.622219,-0.141405,2535.472745,4.087935,2425.997635,1.965365
load_5_q,2208.622219,-0.141405,2535.472745,4.087935,2425.997635,1.965365
load_6_p,2186.067449,-0.163583,2554.087099,4.085385,2398.162344,1.955158
load_6_q,2186.067449,-0.163583,2554.087099,4.085385,2398.162344,1.955158
load_9_p,0.000000,0.000000,0.000000,0.000000,2393.419842,1.953051
load_9_q,0.000000,0.000000,0.000000,0.000000,2393.419842,1.953051
load_10_p,2177.862896,-0.162661,0.000000,0.000000,0.000000,0.000000
load_10_q,2177.862896,-0.162661,0.000000,0.000000,0.000000,0.000000
load_11_p,2186.061733,-0.163576,2554.081746,4.085383,2398.152841,1.955161
load_11_q,2186.061733,-0.163576,2554.081746,4.085383,2398.152841,1.955161
load_12_p,2180.346919,-0.167536,2558.264245,4.084534,2395.037315,1.955892
load_12_q,2180.346919,-0.167536,2558.264245,4.084534,2395.037315,1.955892
load_14_p,2189.478685,-0.142799,2504.102671,4.086791,2405.985652,1.964403
load_14_q,2189.478685,-0.142799,2504.102671,4.086791,2405.985652,1.964403
load_19_p,2219.938258,-0.136183,2525.459786,4.090231,2427.793306,1.968215
load_19_q,2219.938258,-0.136183,2525.459786,4.090231,2427.793306,1.968215
load_22_p,2180.310358,-0.168152,2557.767831,4.084343,2393.820036,1.955428
load_22_q,2180.310358,-0.168152,2557.767831,4.084343,2393.820036,1.955428
load_25_p,2199.362154,-0.165631,2553.749884,4.087915,2394.543491,1.953655
load_25_q,2199.362154,-0.165631,2553.749884,4.087915,2394.543491,1.953655
load_29_p,2208.635488,-0.141399,2535.464000,4.087931,2425.988500,1.965362
load_29_q,2208.635488,-0.141399,2535.464000,4.087931,2425.988500,1.965362
load_30_p,2186.075532,-0.163569,2554.075639,4.085380,2398.146341,1.955158
load_30_q,2186.075532,-0.163569,2554.075639,4.085380,2398.146341,1.955158
node_1,2298.812767,-0.113338,2507.066047,4.112766,2451.630742,1.982470
node_2,2224.252926,-0.135297,2526.502456,4.091066,2430.019105,1.968429
node_3,0.000000,0.000000,2515.901325,4.089595,2427.711775,1.968676
node_4,0.000000,0.000000,2513.996073,4.088990,2425.278701,1.969065
node_5,2208.622219,-0.141405,2535.472745,4.087935,2425.997635,1.965365
node_6,2186.067449,-0.163583,2554.087099,4.085385,2398.162344,1.955158
node_7,2199.048961,-0.164956,2554.071232,4.088079,2395.656467,1.954166
node_8,2183.329258,-0.163831,0.000000,0.000000,2395.784522,1.954317
node_9,0.000000,0.000000,0.000000,0.000000,2393.419842,1.953051
node_10,2177.862896,-0.162661,0.000000,0.000000,0.000000,0.000000
node_11,2186.061733,-0.163576,2554.081746,4.085383,2398.152841,1.955161
node_12,2180.346919,-0.167536,2558.264245,4.084534,2395.037315,1.955892
node_13,2220.834154,-0.135716,2525.683473,4.090649,2428.448140,1.968580
node_14,2189.478685,-0.142799,2504.102671,4.086791,2405.985652,1.964403
node_15,2220.834807,-0.135717,2525.683501,4.090649,2428.448215,1.968579
node_16,2180.343732,-0.167538,2558.266013,4.084534,2395.039000,1.955892
node_17,2199.043284,-0.164960,2554.071409,4.088078,2395.656654,1.954165
node_18,2220.900171,-0.135666,2525.807180,4.090669,2428.641021,1.968620
node_19,2219.938258,-0.136183,2525.459786,4.090231,2427.793306,1.968215
node_20,2222.189880,-0.134894,2526.773578,4.091208,2430.453429,1.969232
inv_20_meter,2222.189880,-0.134894,2526.773578,4.091208,2430.453429,1.969232
node_21,2181.299749,-0.167605,2558.080895,4.084774,2394.683994,1.955837
node_22,2180.310358,-0.168152,2557.767831,4.084343,2393.820036,1.955428
node_23,2187.069623,-0.167394,2557.472391,4.086409,2393.773163,1.955968
inv_23_meter,2187.069623,-0.167394,2557.472391,4.086409,2393.773163,1.955968
node_24,2200.341662,-0.165096,2554.070841,4.088347,2395.406196,1.954066
node_25,2199.362154,-0.165631,2553.749884,4.087915,2394.543491,1.953655
node_26,2207.813506,-0.165242,2554.393706,4.090127,2395.016883,1.953980
inv_26_meter,2207.813506,-0.165242,2554.393706,4.090127,2395.016883,1.953980
node_27,2208.628854,-0.141402,2535.468372,4.087933,2425.993067,1.965364
node_28,2186.068633,-0.163573,2554.078692,4.085382,2398.149591,1.955160
node_29,2208.635488,-0.141399,2535.464000,4.087931,2425.988500,1.965362
inv_29_meter,2208.635488,-0.141399,2535.464000,4.087931,2425.988500,1.965362
node_30,2186.075532,-0.163569,2554.075639,4.085380,2398.146341,1.955158
inv_30_meter,2186.075532,-0.163569,2554.075639,4.085380,2398.146341,1.955158
