# output/output_current.csv run at 2001-08-01 12:00:00 PDT on 123 links
link_name,currA_real,currA_imag,currB_real,currB_imag,currC_real,currC_imag
sw_fault,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
sw_0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
oh_line_source_equivalence_post_fault,219.263795,-145.357401,-70.436511,-146.067973,-89.702682,215.808147
oh_line_1_2,219.263795,-145.357401,-70.436511,-146.067973,-89.702682,215.808147
oh_line_2_3,0.000000,0.000000,-55.319381,-41.477062,16.338370,26.383730
oh_line_3_4,0.000000,0.000000,-16.172787,-25.953183,16.338370,26.383730
oh_line_2_5,196.761267,-125.475209,-0.469410,-97.161565,-107.350675,172.486481
oh_line_5_6,196.979835,-62.647160,-28.780929,-69.091674,-68.383899,175.210644
oh_line_6_7,-6.527173,63.404473,12.095141,4.052999,-2.798291,-12.964892
oh_line_17_24,-6.527173,63.404473,12.095141,4.052999,-2.798291,-12.964892
oh_line_24_25,20.583340,-7.586477,-15.472515,-13.533551,-3.895085,21.057576
oh_line_24_26,-27.110514,70.990949,27.567655,17.586550,1.096794,-34.022468
oh_line_6_8,25.995914,-19.792365,0.000000,0.000000,-19.568572,29.176397
oh_line_8_9,0.000000,0.000000,0.000000,0.000000,-19.568572,29.176397
oh_line_8_10,25.995914,-19.792365,0.000000,0.000000,0.000000,0.000000
oh_line_11_12,94.633087,36.149180,14.649489,-13.446007,-14.787244,47.753421
oh_line_16_21,-7.959084,40.531642,-1.466858,12.555007,10.301234,-6.233815
oh_line_21_22,20.719671,-7.687029,-15.493203,-13.462402,-3.929121,21.060587
oh_line_21_23,-28.678754,48.218672,14.026345,26.017410,14.230355,-27.294402
oh_line_2_13,22.502529,-19.882193,-14.647719,-7.429346,1.309623,16.937936
oh_line_13_14,32.748113,-24.630880,-28.094677,-10.744201,4.816327,30.258907
oh_line_15_18,-10.245584,4.748687,13.446958,3.314854,-3.506705,-13.320971
oh_line_18_19,20.611287,-7.021752,-15.595065,-13.699689,-4.155489,20.728143
oh_line_18_20,-30.856871,11.770440,29.042022,17.014543,0.648784,-34.049114
switch_7_17,-6.527173,63.404473,12.095141,4.052999,-2.798291,-12.964892
switch_6_11,97.973346,-54.233692,40.618673,-29.836420,-50.427209,59.023028
switch_12_16,-7.959084,40.531642,-1.466858,12.555007,10.301234,-6.233815
switch_13_15,-10.245584,4.748687,13.446958,3.314854,-3.506705,-13.320971
switch_5_27,-2.532813,-61.334875,37.196272,-23.357311,-39.700025,-20.989918
switch_27_29,-2.532813,-61.334875,37.196272,-23.357311,-39.700025,-20.989918
switch_11_28,-3.814572,-63.595582,25.969184,-16.390413,-28.387783,-14.625590
switch_28_30,-3.814572,-63.595582,25.969184,-16.390413,-28.387783,-14.625590
