# file...... output/inv_30_meter.csv
# date...... Mon Mar  6 15:27:07 2023
# user...... nathangray
# host...... (null)
# target.... meter 120
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,measured_power_A,measured_power_B,measured_power_C
2001-08-01 12:00:00 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:01 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:02 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:03 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:04 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:05 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:06 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:07 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:08 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:09 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:10 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:11 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:12 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:13 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:14 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:15 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:16 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:17 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:18 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:19 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:20 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:21 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:22 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:23 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:24 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:25 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:26 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:27 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:28 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:29 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:30 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:31 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:32 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:33 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:34 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:35 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:36 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:37 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:38 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:39 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:40 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:41 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:42 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:43 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:44 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:45 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:46 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:47 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:48 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:49 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:50 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:51 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:52 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:53 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:54 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:55 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:56 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:57 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:58 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:00:59 PDT,+75000+180.000000000000d,+75000+180.000000000000d,+75000+180.000000000000d
2001-08-01 12:01:00 PDT,+125000-126.869897645844d,+125000-126.869897645844d,+125000-126.869897645844d
2001-08-01 12:01:01 PDT,+125000-126.869897645844d,+125000-126.869897645844d,+125000-126.869897645844d
2001-08-01 12:01:02 PDT,+125000-126.869897645844d,+125000-126.869897645844d,+125000-126.869897645844d
2001-08-01 12:01:03 PDT,+125000-126.869897645844d,+125000-126.869897645844d,+125000-126.869897645844d
2001-08-01 12:01:04 PDT,+125000-126.869897645844d,+125000-126.869897645844d,+125000-126.869897645844d
2001-08-01 12:01:05 PDT,+125000-126.869897645844d,+125000-126.869897645844d,+125000-126.869897645844d
2001-08-01 12:01:06 PDT,+125000-126.869897645844d,+125000-126.869897645844d,+125000-126.869897645844d
2001-08-01 12:01:07 PDT,+125000-126.869897645844d,+125000-126.869897645844d,+125000-126.869897645844d
2001-08-01 12:01:08 PDT,+125000-126.869897645844d,+125000-126.869897645844d,+125000-126.869897645844d
2001-08-01 12:01:09 PDT,+125000-126.869897645844d,+125000-126.869897645844d,+125000-126.869897645844d
2001-08-01 12:01:10 PDT,+145773.797371-120.963756532074d,+145773.797371-120.963756532074d,+145773.797371-120.963756532074d
2001-08-01 12:01:11 PDT,+145773.797371-120.963756532074d,+145773.797371-120.963756532074d,+145773.797371-120.963756532074d
2001-08-01 12:01:12 PDT,+145773.797371-120.963756532074d,+145773.797371-120.963756532074d,+145773.797371-120.963756532074d
2001-08-01 12:01:13 PDT,+145773.797371-120.963756532074d,+145773.797371-120.963756532074d,+145773.797371-120.963756532074d
2001-08-01 12:01:14 PDT,+145773.797371-120.963756532074d,+145773.797371-120.963756532074d,+145773.797371-120.963756532074d
2001-08-01 12:01:15 PDT,+145773.797371-120.963756532074d,+145773.797371-120.963756532074d,+145773.797371-120.963756532074d
2001-08-01 12:01:16 PDT,+145773.797371-120.963756532074d,+145773.797371-120.963756532074d,+145773.797371-120.963756532074d
2001-08-01 12:01:17 PDT,+145773.797371-120.963756532074d,+145773.797371-120.963756532074d,+145773.797371-120.963756532074d
2001-08-01 12:01:18 PDT,+145773.797371-120.963756532074d,+145773.797371-120.963756532074d,+145773.797371-120.963756532074d
2001-08-01 12:01:19 PDT,+145773.797371-120.963756532074d,+145773.797371-120.963756532074d,+145773.797371-120.963756532074d
2001-08-01 12:01:20 PDT,+167705.098312-116.565051177078d,+167705.098312-116.565051177078d,+167705.098312-116.565051177078d
2001-08-01 12:01:21 PDT,+167705.098312-116.565051177078d,+167705.098312-116.565051177078d,+167705.098312-116.565051177078d
2001-08-01 12:01:22 PDT,+167705.098312-116.565051177078d,+167705.098312-116.565051177078d,+167705.098312-116.565051177078d
2001-08-01 12:01:23 PDT,+167705.098312-116.565051177078d,+167705.098312-116.565051177078d,+167705.098312-116.565051177078d
2001-08-01 12:01:24 PDT,+167705.098312-116.565051177078d,+167705.098312-116.565051177078d,+167705.098312-116.565051177078d
2001-08-01 12:01:25 PDT,+167705.098312-116.565051177078d,+167705.098312-116.565051177078d,+167705.098312-116.565051177078d
2001-08-01 12:01:26 PDT,+167705.098312-116.565051177078d,+167705.098312-116.565051177078d,+167705.098312-116.565051177078d
2001-08-01 12:01:27 PDT,+167705.098312-116.565051177078d,+167705.098312-116.565051177078d,+167705.098312-116.565051177078d
2001-08-01 12:01:28 PDT,+167705.098312-116.565051177078d,+167705.098312-116.565051177078d,+167705.098312-116.565051177078d
2001-08-01 12:01:29 PDT,+167705.098312-116.565051177078d,+167705.098312-116.565051177078d,+167705.098312-116.565051177078d
