# output/output_current.csv run at 2001-08-01 12:00:00 PDT on 123 links
link_name,currA_real,currA_imag,currB_real,currB_imag,currC_real,currC_imag
sw_fault,216.609205,-139.224807,-157.220270,-97.024654,-0.063978,270.900653
sw_0,216.609205,-139.224807,-157.220270,-97.024654,-0.063978,270.900653
oh_line_source_equivalence_post_fault,-0.205269,-0.044641,0.034725,0.146666,0.156311,-0.156237
oh_line_1_2,216.403936,-139.269447,-157.185545,-96.877988,0.092332,270.744416
oh_line_2_3,0.000000,0.000000,-55.067379,-43.261681,16.103146,27.044806
oh_line_3_4,0.000000,0.000000,-15.783792,-26.648716,16.103146,27.044806
oh_line_2_5,194.214047,-109.753391,-73.810234,-53.835698,-30.760771,218.858405
oh_line_5_6,191.926555,-108.332858,-64.911570,-48.829502,-31.194056,200.254193
oh_line_6_7,-10.582369,-5.831597,-0.059555,11.704219,10.516315,-6.208865
oh_line_17_24,-10.582369,-5.831597,-0.059555,11.704219,10.516315,-6.208865
oh_line_24_25,20.455713,-7.041028,-15.445168,-14.136341,-4.386415,21.416407
oh_line_24_26,-31.038082,1.209431,15.385613,25.840560,14.902730,-27.625272
oh_line_6_8,25.865585,-18.903831,0.000000,0.000000,-20.510444,29.459635
oh_line_8_9,0.000000,0.000000,0.000000,0.000000,-20.510444,29.459635
oh_line_8_10,25.865585,-18.903831,0.000000,0.000000,0.000000,0.000000
oh_line_11_12,90.125121,-7.991156,17.018454,-14.391883,-16.045770,48.471593
oh_line_16_21,-10.627189,-5.822981,-0.040298,11.688114,10.522669,-6.216584
oh_line_21_22,20.497894,-7.111349,-15.446729,-14.091622,-4.383741,21.434215
oh_line_21_23,-31.125084,1.288368,15.406431,25.779736,14.906411,-27.650799
oh_line_2_13,22.189889,-29.516056,-28.307932,0.219392,14.749958,24.841206
oh_line_13_14,32.506709,-23.548075,-28.216344,-11.538448,4.347777,30.796007
oh_line_15_18,-10.316819,-5.967981,-0.091588,11.757840,10.402181,-5.954801
oh_line_18_19,20.319109,-6.522197,-15.479039,-14.242680,-4.589199,20.958669
oh_line_18_20,-30.635928,0.554215,15.387450,26.000520,14.991379,-26.913470
switch_7_17,-10.582369,-5.831597,-0.059555,11.704219,10.516315,-6.208865
switch_6_11,97.655991,-34.118076,17.018454,-14.391883,-23.917272,74.794866
switch_12_16,-10.627189,-5.822981,-0.040298,11.688114,10.522669,-6.216584
switch_13_15,-10.316819,-5.967981,-0.091588,11.757840,10.402181,-5.954801
switch_5_27,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
switch_27_29,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
switch_11_28,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
switch_28_30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
