# output/output_voltage.csv run at 2001-08-01 12:00:00 PDT on 123 powerflow objects (not all are nodes)
node_name,voltA_mag,voltA_angle,voltB_mag,voltB_angle,voltC_mag,voltC_angle
source_equivalence,2497.848205,0.000000,2497.848205,4.188790,2497.848205,2.094395
node_0,2497.840466,0.000014,2497.840706,4.188800,2497.838281,2.094410
load_3_p,0.000000,0.000000,2473.619145,4.175705,2434.513557,2.077985
load_3_q,0.000000,0.000000,2473.619145,4.175705,2434.513557,2.077985
load_4_p,0.000000,0.000000,2471.654510,4.175076,2432.106954,2.078364
load_4_q,0.000000,0.000000,2471.654510,4.175076,2432.106954,2.078364
load_5_p,2441.566589,-0.023994,2486.328071,4.176445,2423.982438,2.073990
load_5_q,2441.566589,-0.023994,2486.328071,4.176445,2423.982438,2.073990
load_6_p,2414.018052,-0.040291,2494.256795,4.174137,2389.031994,2.064039
load_6_q,2414.018052,-0.040291,2494.256795,4.174137,2389.031994,2.064039
load_9_p,0.000000,0.000000,0.000000,0.000000,2384.259056,2.061873
load_9_q,0.000000,0.000000,0.000000,0.000000,2384.259056,2.061873
load_10_p,2406.695435,-0.039532,0.000000,0.000000,0.000000,0.000000
load_10_q,2406.695435,-0.039532,0.000000,0.000000,0.000000,0.000000
load_11_p,2414.011172,-0.040285,2494.254233,4.174136,2389.025708,2.064043
load_11_q,2414.011172,-0.040285,2494.254233,4.174136,2389.025708,2.064043
load_12_p,2406.847021,-0.042132,2497.157436,4.172994,2386.896804,2.064389
load_12_q,2406.847021,-0.042132,2497.157436,4.172994,2386.896804,2.064389
load_14_p,2418.612127,-0.024632,2460.275803,4.173273,2411.466831,2.074044
load_14_q,2418.612127,-0.024632,2460.275803,4.173273,2411.466831,2.074044
load_19_p,2446.156527,-0.019142,2481.697897,4.176874,2433.045542,2.077815
load_19_q,2446.156527,-0.019142,2481.697897,4.176874,2433.045542,2.077815
load_22_p,2405.996703,-0.042481,2496.637342,4.172604,2386.038830,2.063992
load_22_q,2405.996703,-0.042481,2496.637342,4.172604,2386.038830,2.063992
load_25_p,2412.985067,-0.040049,2493.177830,4.174232,2387.884508,2.064275
load_25_q,2412.985067,-0.040049,2493.177830,4.174232,2387.884508,2.064275
load_29_p,2441.566589,-0.023994,2486.328071,4.176445,2423.982438,2.073990
load_29_q,2441.566589,-0.023994,2486.328071,4.176445,2423.982438,2.073990
load_30_p,2414.011172,-0.040285,2494.254233,4.174136,2389.025708,2.064043
load_30_q,2414.011172,-0.040285,2494.254233,4.174136,2389.025708,2.064043
node_1,2497.832729,0.000028,2497.833207,4.188810,2497.828357,2.094425
node_2,2450.470466,-0.018658,2484.446327,4.177231,2436.770222,2.077777
node_3,0.000000,0.000000,2473.619145,4.175705,2434.513557,2.077985
node_4,0.000000,0.000000,2471.654510,4.175076,2432.106954,2.078364
node_5,2441.566589,-0.023994,2486.328071,4.176445,2423.982438,2.073990
node_6,2414.018052,-0.040291,2494.256795,4.174137,2389.031994,2.064039
node_7,2413.832342,-0.039703,2493.701228,4.174623,2388.741217,2.064672
node_8,2411.641802,-0.040489,0.000000,0.000000,2386.632837,2.063149
node_9,0.000000,0.000000,0.000000,0.000000,2384.259056,2.061873
node_10,2406.695435,-0.039532,0.000000,0.000000,0.000000,0.000000
node_11,2414.011172,-0.040285,2494.254233,4.174136,2389.025708,2.064043
node_12,2406.847021,-0.042132,2497.157436,4.172994,2386.896804,2.064389
node_13,2446.988059,-0.018813,2482.241722,4.177268,2433.878168,2.078202
node_14,2418.612127,-0.024632,2460.275803,4.173273,2411.466831,2.074044
node_15,2446.989695,-0.018813,2482.243336,4.177268,2433.879813,2.078202
node_16,2406.848685,-0.042132,2497.159041,4.172994,2386.898482,2.064389
node_17,2413.834001,-0.039703,2493.702835,4.174623,2388.742894,2.064672
node_18,2446.972823,-0.018757,2482.188925,4.177318,2433.849822,2.078263
node_19,2446.156527,-0.019142,2481.697897,4.176874,2433.045542,2.077815
node_20,2447.705509,-0.018088,2482.408751,4.178011,2434.505096,2.079014
inv_20_meter,2447.705509,-0.018088,2482.408751,4.178011,2434.505096,2.079014
node_21,2406.829957,-0.042073,2497.103391,4.173042,2386.869637,2.064452
node_22,2405.996703,-0.042481,2496.637342,4.172604,2386.038830,2.063992
node_23,2407.570391,-0.041370,2497.292024,4.173723,2387.557214,2.065229
inv_23_meter,2407.570391,-0.041370,2497.292024,4.173723,2387.557214,2.065229
node_24,2413.815476,-0.039645,2493.647310,4.174672,2388.713869,2.064735
node_25,2412.985067,-0.040049,2493.177830,4.174232,2387.884508,2.064275
node_26,2414.554066,-0.038946,2493.840007,4.175355,2389.399100,2.065511
inv_26_meter,2414.554066,-0.038946,2493.840007,4.175355,2389.399100,2.065511
node_27,2441.566589,-0.023994,2486.328071,4.176445,2423.982438,2.073990
node_28,2414.011172,-0.040285,2494.254233,4.174136,2389.025708,2.064043
node_29,2441.566589,-0.023994,2486.328071,4.176445,2423.982438,2.073990
inv_29_meter,2441.566589,-0.023994,2486.328071,4.176445,2423.982438,2.073990
node_30,2414.011172,-0.040285,2494.254233,4.174136,2389.025708,2.064043
inv_30_meter,2414.011172,-0.040285,2494.254233,4.174136,2389.025708,2.064043
