# file...... output/s_in.csv
# date...... Thu Mar 16 16:52:50 2023
# user...... nathangray
# host...... (null)
# target.... meter 86
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,measured_power.real,measured_power.imag,measured_power_A.real,measured_power_A.imag,measured_power_B.real,measured_power_B.imag,measured_power_C.real,measured_power_C.imag
2001-08-01 12:00:00 PDT,+1531947.70452,+905278.142089,+540530.923273,+347887.184568,+405872.453446,+219037.336213,+585544.327803,+338353.621307
2001-08-01 12:00:01 PDT,+1531947.70452,+905278.142137,+540530.923279,+347887.184605,+405872.453466,+219037.336214,+585544.327776,+338353.621318
2001-08-01 12:00:02 PDT,+1531947.70446,+905278.142143,+540530.923265,+347887.184583,+405872.453418,+219037.336252,+585544.32778,+338353.621309
2001-08-01 12:00:03 PDT,+1531947.70447,+905278.142133,+540530.923256,+347887.184571,+405872.453427,+219037.336258,+585544.327789,+338353.621303
2001-08-01 12:00:04 PDT,+1531947.70449,+905278.142109,+540530.923254,+347887.184572,+405872.453445,+219037.336228,+585544.327794,+338353.621309
2001-08-01 12:00:05 PDT,+1531947.70449,+905278.142135,+540530.92328,+347887.184587,+405872.453418,+219037.336237,+585544.327789,+338353.621311
2001-08-01 12:00:06 PDT,+1531947.70452,+905278.14211,+540530.923275,+347887.184592,+405872.453448,+219037.336233,+585544.327793,+338353.621286
2001-08-01 12:00:07 PDT,+1531947.70448,+905278.142113,+540530.923268,+347887.18457,+405872.453451,+219037.336227,+585544.327765,+338353.621317
2001-08-01 12:00:08 PDT,+1531947.70447,+905278.142163,+540530.923279,+347887.184591,+405872.453418,+219037.336247,+585544.327775,+338353.621324
2001-08-01 12:00:09 PDT,+1531947.70447,+905278.142116,+540530.923271,+347887.184572,+405872.453424,+219037.336234,+585544.327773,+338353.62131
2001-08-01 12:00:10 PDT,+1531947.70449,+905278.142147,+540530.92327,+347887.184588,+405872.453442,+219037.33624,+585544.327776,+338353.621319
2001-08-01 12:00:11 PDT,+1531947.70454,+905278.142101,+540530.92328,+347887.184576,+405872.453488,+219037.336216,+585544.327773,+338353.621309
2001-08-01 12:00:12 PDT,+1531947.70451,+905278.142113,+540530.923278,+347887.184567,+405872.45344,+219037.336226,+585544.327793,+338353.62132
